계정항목,  남,  여,고령인구비율(65세 이상),합계출산율 1)
단위,명 ,명 ,% ,명 
2007,24491190,24192448,9.8,1.259
2008,24671648,24383060,10.2,1.192
2009,24774341,24533494,10.5,1.149
2010,24881114,24672998,10.8,1.226
2011,25069867,24866771,11,1.244
2012,25187380,25012473,11.5,1.297
2013,25285319,25143574,11.9,1.187
2014,25445077,25301582,12.4,1.205
2015,25585894,25429053,12.8,1.239
2016,25670949,25546854,13.2,1.172
2017,25736793,25625118,13.8,1.052
2018,25857689,25727369,14.3,0.977
2019,25948706,25816116,14.9,0.918
2020,25925697,25910542,15.7,0.837
2021,25857805,25887071,16.6,0.808
2022,25790370,25837747,17.5,0.78
2023,25749708,25808326,18.4,
