계정항목,  KOSPI_종가,  KOSDAQ_종가
단위,1980.01.04=100 ,1996.07.01=1000
2007/01,1360.23,576.37
2007/02,1417.34,600.93
2007/03,1452.55,648.99
2007/04,1542.24,675.88
2007/05,1700.91,747.87
2007/06,1743.6,778.69
2007/07,1933.27,811.52
2007/08,1873.24,775.13
2007/09,1946.48,794.56
2007/10,2064.85,810.07
2007/11,1906,741.84
2007/12,1897.13,704.23
2008/01,1624.68,608.84
2008/02,1711.62,655.94
2008/03,1703.99,644.45
2008/04,1825.47,647.02
2008/05,1852.02,652.15
2008/06,1674.92,590.19
2008/07,1594.67,539.44
2008/08,1474.24,470.28
2008/09,1448.06,440.77
2008/10,1113.06,308.03
2008/11,1076.07,307.48
2008/12,1124.47,332.05
2009/01,1162.11,364.9
2009/02,1063.03,363.21
2009/03,1206.26,421.44
2009/04,1369.36,500.98
2009/05,1395.89,528.8
2009/06,1390.07,485.15
2009/07,1557.29,504.35
2009/08,1591.85,514.7
2009/09,1673.14,505.94
2009/10,1580.69,486.46
2009/11,1555.6,464.32
2009/12,1682.77,513.57
2010/01,1602.43,496.57
2010/02,1594.58,507.03
2010/03,1692.85,515.74
2010/04,1741.56,523.75
2010/05,1641.25,489.42
2010/06,1698.29,489.98
2010/07,1759.33,481.45
2010/08,1742.75,464.71
2010/09,1872.81,492.75
2010/10,1882.95,526.45
2010/11,1904.63,498.39
2010/12,2051,510.69
2011/01,2069.73,521.38
2011/02,1939.3,504.46
2011/03,2106.7,525.42
2011/04,2192.36,511
2011/05,2142.47,484.54
2011/06,2100.69,479.55
2011/07,2133.21,536.05
2011/08,1880.11,493.44
2011/09,1769.65,449.66
2011/10,1909.03,490.69
2011/11,1847.51,492.81
2011/12,1825.74,500.18
2012/01,1955.79,513.99
2012/02,2030.25,542.3
2012/03,2014.04,519.56
2012/04,1981.99,478.89
2012/05,1843.47,471.94
2012/06,1854.01,489.16
2012/07,1881.99,467.61
2012/08,1905.12,508.35
2012/09,1996.21,523.78
2012/10,1912.06,508.31
2012/11,1932.9,499.37
2012/12,1997.05,496.32
2013/01,1961.94,503.67
2013/02,2026.49,535.87
2013/03,2004.89,555.02
2013/04,1963.95,563.87
2013/05,2001.05,577.87
2013/06,1863.32,519.06
2013/07,1914.03,554.31
2013/08,1926.36,516.74
2013/09,1996.96,534.89
2013/10,2030.09,532.44
2013/11,2044.87,517.06
2013/12,2011.34,499.99
2014/01,1941.15,515.2
2014/02,1979.99,528.96
2014/03,1985.61,541.58
2014/04,1961.79,559.34
2014/05,1994.96,546.53
2014/06,2002.21,537.06
2014/07,2076.12,536.32
2014/08,2068.54,570.2
2014/09,2020.09,573.22
2014/10,1964.43,558.7
2014/11,1980.78,545.08
2014/12,1915.59,542.97
2015/01,1949.26,591.58
2015/02,1985.8,624.56
2015/03,2041.03,650.49
2015/04,2127.17,689.01
2015/05,2114.8,711.39
2015/06,2074.2,742.27
2015/07,2030.16,725.06
2015/08,1941.49,687.11
2015/09,1962.81,678.48
2015/10,2029.47,683.63
2015/11,1991.97,688.38
2015/12,1961.31,682.35
2016/01,1912.06,682.8
2016/02,1916.66,651.62
2016/03,1995.85,688.38
2016/04,1994.15,699.77
2016/05,1983.4,698.45
2016/06,1970.35,675.09
2016/07,2016.19,706.24
2016/08,2034.65,663.69
2016/09,2043.63,681.21
2016/10,2008.19,624.68
2016/11,1983.48,596.11
2016/12,2026.46,631.44
2017/01,2067.57,616.13
2017/02,2091.64,612.2
2017/03,2160.23,619.28
2017/04,2205.44,628.24
2017/05,2347.38,652.04
2017/06,2391.79,669.04
2017/07,2402.71,650.47
2017/08,2363.19,657.83
2017/09,2394.47,652.82
2017/10,2523.43,694.2
2017/11,2476.37,771.42
2017/12,2467.49,798.42
2018/01,2566.46,913.57
2018/02,2427.36,857.06
2018/03,2445.85,871.09
2018/04,2515.38,875.95
2018/05,2423.01,879.66
2018/06,2326.13,818.22
2018/07,2295.26,775.52
2018/08,2322.88,816.97
2018/09,2343.07,822.27
2018/10,2029.69,648.67
2018/11,2096.86,695.76
2018/12,2041.04,675.65
2019/01,2204.85,716.86
2019/02,2195.44,731.25
2019/03,2140.67,729.31
2019/04,2203.59,754.74
2019/05,2041.74,696.47
2019/06,2130.62,690.53
2019/07,2024.55,630.18
2019/08,1967.79,610.55
2019/09,2063.05,621.76
2019/10,2083.48,658.52
2019/11,2087.96,632.99
2019/12,2197.67,669.83
2020/01,2119.01,642.48
2020/02,1987.01,610.73
2020/03,1754.64,569.07
2020/04,1947.56,645.18
2020/05,2029.6,713.68
2020/06,2108.33,737.97
2020/07,2249.37,815.3
2020/08,2326.17,848.24
2020/09,2327.89,848.15
2020/10,2267.15,792.65
2020/11,2591.34,886.11
2020/12,2873.47,968.42
2021/01,2976.21,928.73
2021/02,3012.95,913.94
2021/03,3061.42,956.17
2021/04,3147.86,983.45
2021/05,3203.92,981.78
2021/06,3296.68,1029.96
2021/07,3202.32,1031.14
2021/08,3199.27,1038.33
2021/09,3068.82,1003.27
2021/10,2970.68,992.33
2021/11,2839.01,965.63
2021/12,2977.65,1033.98
2022/01,2663.34,872.87
2022/02,2699.18,881.07
2022/03,2757.65,944.53
2022/04,2695.05,904.75
2022/05,2685.9,893.36
2022/06,2332.64,745.44
2022/07,2451.5,803.62
2022/08,2472.05,807.04
2022/09,2155.49,672.65
2022/10,2293.61,695.33
2022/11,2472.53,729.54
2022/12,2236.4,679.29
2023/01,2425.08,740.49
